AACombo,Fitness
VACC,1.562684088
IYGW,0.675745102
IDAA,3.931234795
IACC,1.885269347
LHGC,2.673283064
LYGG,1.179315177
LYGT,2.685601796
FYGE,0.019033565
LHCA,4.823404754
VFGF,2.888281388
FACC,0.454861705
FHGC,3.978361133
FDAA,2.475382559
IHGC,3.108682034
FHCC,0.807023152
FRGE,0.0089375
LHCC,1.746700574
LYGS,1.970706773
CAAA,3.359855229
VYGC,4.026443968
FHGA,4.147720788
IYGE,0.429802274
VWGC,4.239155578
LYGD,0.509011908
LYGE,0.093598527
IHCC,1.949037048
IHGA,2.429358512
IRGE,0.102345569
VFGI,1.548158686
IRGD,0.127905556
FKCC,0.621581849
LKCC,2.056704079
VYGF,3.298370388
WYGL,2.502590229
VFGW,0.971786064
MACC,1.197571328
LKGA,1.806874546
VYGV,3.891461091
VFGR,0.009240841
VWGV,3.901460756
VFGK,0.020086486
WRGA,1.639868125
VRGF,1.910034936
VFGH,0.250921363
RYGM,3.479080183
WRGM,1.205151704
LHGL,1.567555951
IAGA,2.107353415
VALA,1.695600292
TFGC,2.747359142
IHGL,2.263315488
YYGI,0.802578952
LAGC,2.132970498
VAGA,1.751532552
RRGM,1.868891181
FHGL,1.234259146
VYGI,2.396287294
KYGL,2.665127465
CACC,0.951551777
IDCA,4.130152321
EFGC,1.697393284
LHGG,0.781852234
FAGA,4.541350024
LHGV,3.356961954
VRGI,0.452091195
IGAA,4.182770084
IHAA,4.71312221
IACA,5.174242276
IGCA,3.889790688
IHCA,4.776536002
FHAA,5.665545389
FGAA,2.152654513
FCAA,2.777788404
IWGV,3.720278206
KFGC,1.527035723
LFCA,4.450170275
IFGA,1.471545306
FSAA,4.277960504
IAFA,2.023130595
IAIA,0.003262897
VWGF,5.390732506
IFGV,3.16744549
IFGM,3.508937068
IWGF,5.772032209
LHAA,4.095311311
RWGM,3.982794925
IGAG,1.617506953
IACG,3.16955514
VFGV,3.054548651
VFGM,4.033624092
FSAC,0.729670745
RYGF,1.940629177
LACA,5.440591537
RFGM,3.294065213
FGAC,0.031405382
ICAG,2.605166681
FWGM,3.357520851
VFCA,4.040869542
CFAA,1.322049027
FWGF,4.755345859
IYCC,1.850799293
FFGM,2.102462037
IKAA,4.396900536
FACA,4.036182612
FHCA,3.312833351
IFCC,1.406234383
LAAC,2.07099417
FAGC,2.546483347
ICCG,1.410723047
WFGM,1.971105617
VFGA,1.70807468
FTAA,2.494938015
IAFG,3.028731367
HYGF,2.409807492
VYCC,1.872101375
VFCC,1.515409564
LHIA,0.008600941
LHFA,1.747333726
IDCG,2.363968763
IFAG,2.480686454
LHVA,0.036022381
FYGS,5.298179945
IDAG,2.576383347
IDIA,0.006229167
IDFA,1.256215285
IDVA,0.035554324
FFGT,3.559758892
FYGT,4.457327597
FWGV,3.180910815
IDMA,0.752903619
LFGT,1.73700485
MAAA,3.457262209
LYCS,1.263497037
LWGL,2.906111623
LWGA,2.747067763
LRCA,5.890926678
IHGV,2.867648025
IECA,1.830552022
IEAA,2.182272301
IGFG,1.301618428
LFGA,2.473698981
LKCA,4.7399926
LYAM,0.384121718
FGAG,0.596251465
IRGC,2.604754503
IHAG,2.986493226
LKAA,3.950311953
FWGL,2.272400012
LFGL,1.874696412
IHGF,2.841872544
FAFA,1.909613344
FAIA,0.006001825
CHAA,3.866078432
FGGA,0.945469025
IDFG,1.825227448
IYSC,0.082345212
FSAG,2.356333584
IIAG,2.748684694
FYAM,0.463833336
FYCC,1.134137937
FFSC,0.018787971
IWGC,3.950873086
IKCA,3.503849225
FWGC,3.440218409
IWGM,5.229246305
FWGT,3.649876409
LWGF,2.826327232
RWGF,3.260228839
FFAA,6.92825718
FKAA,3.619187659
VWGM,5.002808456
LWGV,4.045960522
FFGA,4.422675399
CWGF,4.087757165
FFGS,4.319824428
CWGC,2.70609039
FFCA,4.354879653
ICAA,3.798367232
FKCA,3.225444462
LFGC,3.358848379
IWGA,2.345931758
INAA,4.991417086
IHCG,3.115323449
IACS,0.447304002
IKAG,2.846013788
TWGC,2.150500012
LSAA,4.254463102
WYGC,2.243014595
ISAG,3.553037537
IRAG,3.427298948
IYGA,2.435218302
LRCG,3.884351307
VYGM,3.608567009
FAAS,0.248156533
LYGV,5.075299437
FHAG,3.7049335
IQAA,3.489269678
LKAS,0.384132932
LKCG,2.894545171
LICA,4.984426809
FYGG,1.955562841
IFGT,1.182701902
WFGC,1.562245152
LYGF,2.769826649
KYGF,2.212782887
CFCA,0.358704692
HYGC,3.369256464
IFCG,2.654237719
LACG,3.498001788
LGCA,4.148390549
IFGS,0.817253897
FHGG,2.192666678
FKAG,1.984058807
LFGF,1.749210689
FICA,3.876674195
FSAS,0.350056036
LHCG,3.242647689
FFAG,5.703873059
YYGF,3.041241071
CFGC,2.68771137
KFGF,1.55673175
LKAG,1.434340263
VWGI,1.926227102
RFGF,1.550399831
IKGC,1.967787645
WYGF,2.424778362
FHCG,2.681717335
FQAA,2.548090874
ILAG,1.271716304
LKGC,1.709807572
VFCG,3.551166686
FTCA,1.617404318
FRGA,3.629047439
HFGF,1.455491471
LFCG,2.750055533
FKGA,2.814190947
FACG,1.545433743
FRGC,2.045083344
FNAA,3.922205936
VHGV,3.081165808
FKGC,1.222460184
MAAS,0.385536309
LDCA,4.163580969
IGAS,0.190871806
ITAG,1.340679528
LKAT,0.176428572
YFGF,1.803710181
WHGA,2.007257364
FAGG,2.003771407
VHGF,3.086416683
LHCS,1.333282803
MHGC,1.947253149
IGCS,0.038312724
LHAG,1.980798579
MAAG,1.188912599
FDCA,2.267818561
WFGF,1.566039308
